ia,Field1,id,country,ccode,year,region,protest,protestnum,startday,startmonth,startyear,endday,endmonth,endyear,protesterv,location,participan,protesteri,protesterd,proteste_1,proteste_2,proteste_3,staterespo,stateres_1,stateres_2,stateres_3,stateres_4,stateres_5,stateres_6,sources,notes,particip_1,FID_,FID_1,AD,LOCATION_1,FREQ,COUNTRY_1,MULT,LAT,LON,TYPE,GridIDs
930,1139,5312013001,Eritrea,531,2013,7,1,1,21,1,2013,22,1,2013,0,Asmara,>50,Military,4,NA,NA,8,1,2,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,267,30,33,Asmara,2,Eritrea,NA,15.33805,38.93184,City,798
931,1140,5401999001,Angola,540,1999,7,1,1,29,12,1999,29,12,1999,0,Luanda,500,Party for Development and Progress,5,NA,NA,8,3,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,110,244,247,Luanda,15,Angola,NA,-8.83682,13.23432,City,438
932,1141,5402000001,Angola,540,2000,7,1,1,17,2,2000,17,2,2000,0,Luanda,100,Party for Development and Progress,5,NA,NA,8,3,2,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,110,244,247,Luanda,15,Angola,NA,-8.83682,13.23432,City,438
933,1142,5402000002,Angola,540,2000,7,1,2,11,3,2000,11,3,2000,0,Luanda,500,seven Angolan opposition parties,5,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,110,244,247,Luanda,15,Angola,NA,-8.83682,13.23432,City,438
934,1143,5402001001,Angola,540,2001,7,1,1,1,7,2001,1,7,2001,1,Luanda,1000s,Protesters,2,NA,NA,8,4,2,6,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,110,244,247,Luanda,15,Angola,NA,-8.83682,13.23432,City,438
935,1144,5402002001,Angola,540,2002,7,1,1,8,10,2002,8,10,2002,1,Luanda,100s,Students,4,NA,NA,8,3,2,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,110,244,247,Luanda,15,Angola,NA,-8.83682,13.23432,City,438
936,1145,5402003001,Angola,540,2003,7,1,1,24,4,2003,24,4,2003,0,Luanda,1000s,Students,5,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,110,244,247,Luanda,15,Angola,NA,-8.83682,13.23432,City,438
937,1146,5402003002,Angola,540,2003,7,1,2,4,6,2003,4,6,2003,0,Luanda,150,Party for Democratic Support and Progress in Angola (PADPA),6,NA,NA,8,2,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,110,244,247,Luanda,15,Angola,NA,-8.83682,13.23432,City,438
938,1147,5402003003,Angola,540,2003,7,1,3,25,7,2003,25,7,2003,0,Luanda,600,Students,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,110,244,247,Luanda,15,Angola,NA,-8.83682,13.23432,City,438
939,1148,5402004001,Angola,540,2004,7,1,1,2,3,2004,2,3,2004,0,Luanda,10000s,Party for Democratic Support and Progress,6,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,>10000,110,244,247,Luanda,15,Angola,NA,-8.83682,13.23432,City,438
940,1149,5402005001,Angola,540,2005,7,1,1,31,1,2005,31,1,2005,0,Cabinda,10000s,Mpalabanda human rights organisation,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,>10000,120,80,83,Cabinda,1,Angola,NA,-4.93423,12.40532,Admin,472 473 507 508
941,1150,5402005002,Angola,540,2005,7,1,2,2,7,2005,2,7,2005,0,Luanda,100s,Campaign for Democratic Angola,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,110,244,247,Luanda,15,Angola,NA,-8.83682,13.23432,City,438
942,1151,5402006001,Angola,540,2006,7,1,1,1,5,2006,1,5,2006,0,Luanda,6000,Oil Unions,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,5000-10000,110,244,247,Luanda,15,Angola,NA,-8.83682,13.23432,City,438
943,1154,5402009001,Angola,540,2009,7,1,1,28,7,2009,28,7,2009,0,Luanda,200,Protesters,2,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,110,244,247,Luanda,15,Angola,NA,-8.83682,13.23432,City,438
944,1157,5402012001,Angola,540,2012,7,1,1,10,7,2012,10,7,2012,0,Luanda,1000s,War Veterans,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,110,244,247,Luanda,15,Angola,NA,-8.83682,13.23432,City,438
945,1158,5402013001,Angola,540,2013,7,1,1,30,3,2013,30,3,2013,0,Luanda,100,Students,3,NA,NA,8,4,2,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,110,244,247,Luanda,15,Angola,NA,-8.83682,13.23432,City,438
946,1159,5402013002,Angola,540,2013,7,1,2,23,11,2013,23,11,2013,0,Luanda,100s,Protesters,3,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,110,244,247,Luanda,15,Angola,NA,-8.83682,13.23432,City,438
947,1161,5412000001,Mozambique,541,2000,7,1,1,9,11,2000,10,11,2000,1,Maputo,<100,Renamo,4,NA,NA,8,6,3,2,NA,NA,NA,NA,2.9E+11,3E+11,100-999,27,262,265,Maputo,19,Mozambique,NA,-25.96553,32.58322,City,201
948,1162,5412001001,Mozambique,541,2001,7,1,1,6,8,2001,24,8,2001,1,Maputo,100s,port workers,1,NA,NA,8,1,2,4,NA,NA,NA,NA,2.9E+11,3E+11,100-999,27,262,265,Maputo,19,Mozambique,NA,-25.96553,32.58322,City,201
949,1164,5412003001,Mozambique,541,2003,7,1,1,1,5,2003,1,5,2003,0,Maputo,30000,Workers,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,>10000,27,262,265,Maputo,19,Mozambique,NA,-25.96553,32.58322,City,201
950,1165,5412003002,Mozambique,541,2003,7,1,2,16,11,2003,16,11,2003,1,Maputo,100s,Magermanes,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,27,262,265,Maputo,19,Mozambique,NA,-25.96553,32.58322,City,201
951,1166,5412004001,Mozambique,541,2004,7,1,1,1,5,2004,1,5,2004,0,Maputo,1000s,Workers,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,27,262,265,Maputo,19,Mozambique,NA,-25.96553,32.58322,City,201
952,1167,5412004002,Mozambique,541,2004,7,1,2,30,6,2004,30,6,2004,0,Maputo,300,Magermanes,1,NA,NA,8,1,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,27,262,265,Maputo,19,Mozambique,NA,-25.96553,32.58322,City,201
953,1168,5412004003,Mozambique,541,2004,7,1,3,12,7,2004,15,7,2004,0,National,100s,Magermanes,1,NA,NA,8,1,3,2,NA,NA,NA,NA,2.9E+11,3E+11,100-999,2,342,345,National,30,South Africa,1,-32.33137,22.50029,Admin,90 91 92 93 94 124 125 126 127 128 129 130 159 160 161 162 163 164 165 166 195 196 197 198 199 200 201 230 231 233 234 235 269 270
954,1169,5412005001,Mozambique,541,2005,7,1,1,18,10,2005,22,10,2005,0,Maputo,50,Students,1,NA,NA,8,3,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,27,262,265,Maputo,19,Mozambique,NA,-25.96553,32.58322,City,201
955,1172,5412008001,Mozambique,541,2008,7,1,1,5,2,2008,5,2,2008,1,Maputo,50,Protesters,5,NA,NA,8,7,6,4,NA,NA,NA,NA,2.9E+11,3E+11,50-99,27,262,265,Maputo,19,Mozambique,NA,-25.96553,32.58322,City,201
956,1173,5412008002,Mozambique,541,2008,7,1,2,12,2,2008,12,2,2008,1,Maputo,1000s,Protesters,5,NA,NA,8,4,1,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,27,262,265,Maputo,19,Mozambique,NA,-25.96553,32.58322,City,201
957,1174,5412009001,Mozambique,541,2009,7,1,1,2,8,2009,2,9,2009,0,Maputo,100s,Protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,27,262,265,Maputo,19,Mozambique,NA,-25.96553,32.58322,City,201
958,1175,5412010001,Mozambique,541,2010,7,1,1,10,2,2010,10,2,2010,0,Maputo,157,former workers of Matola Coal Terminal,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,27,262,265,Maputo,19,Mozambique,NA,-25.96553,32.58322,City,201
959,1176,5412010002,Mozambique,541,2010,7,1,2,12,2,2010,12,2,2010,1,Macaroja,>300,Protesters,4,NA,NA,8,2,6,3,NA,NA,NA,NA,2.9E+11,3E+11,100-999,396,249,252,Macaroja,1,Mozambique,NA,0,0,NA,343
960,1177,5412010003,Mozambique,541,2010,7,1,3,18,2,2010,18,2,2010,1,Gurue,>50,Protesters,4,NA,NA,8,2,6,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,89,149,152,Gurue,1,Mozambique,NA,-15.46358,36.98167,Admin,342
961,1178,5412010004,Mozambique,541,2010,7,1,4,1,9,2010,2,9,2010,1,"Beira, Maputo and Matola",>50,Protesters,5,NA,NA,8,4,3,6,7,NA,NA,NA,2.9E+11,3E+11,50-99,327,52,55,"Beira, Maputo and Matola",1,Mozambique,1,0,0,NA,200 201 306
962,1179,5412011001,Mozambique,541,2011,7,1,1,19,1,2011,19,1,2011,1,Namialo,>50,Protesters,4,NA,NA,8,4,7,2,NA,NA,NA,NA,2.9E+11,3E+11,50-99,100,315,318,Namialo,1,Mozambique,NA,-14.92056,39.98361,City,378
963,1180,5412011002,Mozambique,541,2011,7,1,2,16,9,2011,16,9,2011,0,Beira,>1000,Women,2,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,1000-1999,79,50,53,Beira,2,Mozambique,NA,-19.84361,34.83889,City,306
964,1181,5412011003,Mozambique,541,2011,7,1,3,17,10,2011,17,10,2011,0,Maputo,>50,Protesters,4,NA,NA,8,1,4,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,27,262,265,Maputo,19,Mozambique,NA,-25.96553,32.58322,City,201
965,1182,5412011004,Mozambique,541,2011,7,1,4,25,10,2011,25,10,2011,0,Maputo,100s,demobilized soldiers,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,27,262,265,Maputo,19,Mozambique,NA,-25.96553,32.58322,City,201
966,1183,5412012001,Mozambique,541,2012,7,1,1,10,1,2012,10,1,2012,0,Moatize,500,Protesters,2,NA,NA,8,3,2,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,87,285,288,Moatize,1,Mozambique,NA,-15.97317,34.00248,Admin,341
967,1184,5412012002,Mozambique,541,2012,7,1,2,1,5,2012,1,5,2012,0,Maputo,1000s,Workers,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,27,262,265,Maputo,19,Mozambique,NA,-25.96553,32.58322,City,201
968,1185,5412012003,Mozambique,541,2012,7,1,3,2,7,2012,2,7,2012,0,Quelimane,1500,Students,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,1000-1999,80,395,398,Quelimane,1,Mozambique,NA,-17.87861,36.88833,City,307
969,1186,5412012004,Mozambique,541,2012,7,1,4,27,9,2012,27,9,2012,1,Beira,200,inmates,7,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,79,50,53,Beira,2,Mozambique,NA,-19.84361,34.83889,City,306
970,1187,5412012005,Mozambique,541,2012,7,1,5,15,11,2012,15,11,2012,1,Maputo and Matola,>50,Protesters,5,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,398,263,266,Maputo and Matola,1,Mozambique,1,0,0,NA,200 201
971,1188,5412013001,Mozambique,541,2013,7,1,1,12,2,2013,12,2,2013,0,Maputo,350,demobilized soldiers,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,27,262,265,Maputo,19,Mozambique,NA,-25.96553,32.58322,City,201
972,1189,5412013002,Mozambique,541,2013,7,1,2,17,2,2013,17,2,2013,1,Mecufi,>50,Protesters,4,NA,NA,8,2,7,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,0,0,0,NA,0,NA,NA,0,0,NA,379
973,1190,5412013003,Mozambique,541,2013,7,1,3,20,2,2013,20,2,2013,0,Maputo,100s,former agents of the Mozambican intelligence and security service (SISE),1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,27,262,265,Maputo,19,Mozambique,NA,-25.96553,32.58322,City,201
974,1191,5412013004,Mozambique,541,2013,7,1,4,26,2,2013,26,2,2013,0,Maputo,>50,former soldiers,1,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,27,262,265,Maputo,19,Mozambique,NA,-25.96553,32.58322,City,201
975,1192,5412013005,Mozambique,541,2013,7,1,5,5,3,2013,5,3,2013,0,Maputo,400,Mozambican Forum of Demobilised Soldiers,1,NA,NA,8,4,3,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,27,262,265,Maputo,19,Mozambique,NA,-25.96553,32.58322,City,201
976,1193,5412013006,Mozambique,541,2013,7,1,6,11,3,2013,11,3,2013,0,Maputo,>50,demobilized soldiers,1,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,27,262,265,Maputo,19,Mozambique,NA,-25.96553,32.58322,City,201
977,1194,5412013007,Mozambique,541,2013,7,1,7,20,3,2013,20,3,2013,1,Matola,100,Protesters,3,NA,NA,8,4,7,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,22,272,275,Matola,1,Mozambique,NA,-25.96222,32.45889,City,200
978,1195,5412013008,Mozambique,541,2013,7,1,8,31,10,2013,31,10,2013,0,Beira and Maputo,1000s,Protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,326,51,54,Beira and Maputo,1,Mozambique,1,0,0,NA,201 306
979,1196,5511999001,Zambia,551,1999,7,1,1,1,3,1999,1,3,1999,0,Lusaka,1000s,Students,4,NA,NA,8,1,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
980,1198,5512001001,Zambia,551,2001,7,1,1,21,4,2001,21,4,2001,0,Lusaka,15000,Protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,>10000,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
981,1199,5512001002,Zambia,551,2001,7,1,2,2,5,2001,2,5,2001,0,Lusaka,>100,Students,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
982,1200,5512001003,Zambia,551,2001,7,1,3,5,5,2001,5,5,2001,0,Lusaka,3000,Protesters,4,NA,NA,8,4,6,1,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
983,1201,5512001004,Zambia,551,2001,7,1,4,30,12,2001,30,12,2001,0,Lusaka,1000s,Movement for Multiparty Democracy,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
984,1202,5512002001,Zambia,551,2002,7,1,1,1,1,2002,1,1,2002,1,Lusaka,1000s,United Party for National Development,4,NA,NA,8,4,7,2,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
985,1203,5512002002,Zambia,551,2002,7,1,2,15,1,2002,15,1,2002,0,Lusaka,100s,Movement for Multiparty Democracy,7,NA,NA,8,2,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
986,1204,5512003001,Zambia,551,2003,7,1,1,18,6,2003,18,6,2003,1,Lusaka,2000,Vendors,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
987,1205,5512003002,Zambia,551,2003,7,1,2,8,9,2003,8,9,2003,0,Ndola,100s,Workers,1,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,95,347,350,Ndola,4,Zambia,NA,-12.95867,28.63659,City,374
988,1206,5512004001,Zambia,551,2004,7,1,1,18,2,2004,18,2,2004,0,Lusaka,5000,Zambian Congress of Trade Unions (ZCTU) and the Federation of Free Trade Unions of Zambia ( FFTUZ),1,5,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,5000-10000,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
989,1207,5512004002,Zambia,551,2004,7,1,2,20,12,2004,20,12,2004,0,Lusaka,>100,Protesters,4,NA,NA,8,4,3,2,NA,NA,NA,NA,2.9E+11,3E+11,100-999,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
990,1208,5512005001,Zambia,551,2005,7,1,1,6,1,2005,6,1,2005,0,Lusaka,>50,"United Party for National Development (UPND), the Party for Unity, Development and Democracy",4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
991,1209,5512005002,Zambia,551,2005,7,1,2,16,5,2005,18,5,2005,1,Lusaka,>50,Students,1,NA,NA,8,4,2,7,NA,NA,NA,NA,2.9E+11,3E+11,50-99,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
992,1210,5512005003,Zambia,551,2005,7,1,3,9,7,2005,9,7,2005,1,Chibombo,>50,Students,4,NA,NA,8,4,2,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,92,90,93,Chibombo,1,Zambia,NA,-14.65685,28.07057,City,374
993,1211,5512005004,Zambia,551,2005,7,1,4,1,11,2005,1,11,2005,0,Lusaka,10000s,"Civil society organizations, student groups, trade unions and opposition political parties",4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,>10000,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
994,1212,5512005005,Zambia,551,2005,7,1,5,10,12,2005,10,12,2005,0,Lusaka,1000s,The Oasis Forum,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
995,1213,5512006001,Zambia,551,2006,7,1,1,22,6,2006,22,6,2006,1,Lusaka,>50,Students,1,NA,NA,8,4,2,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
996,1214,5512006002,Zambia,551,2006,7,1,2,1,10,2006,1,10,2006,1,Lusaka,>50,Protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
997,1216,5512008001,Zambia,551,2008,7,1,1,13,11,2008,13,11,2008,1,Kitwe,>50,Protesters,3,NA,NA,8,2,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,94,220,223,Kitwe,5,Zambia,NA,-12.80243,28.21323,City,374
998,1217,5512009001,Zambia,551,2009,7,1,1,2,5,2009,2,5,2009,0,Kitwe,6000,jobless miners and Patriotic Front (PF),1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,5000-10000,94,220,223,Kitwe,5,Zambia,NA,-12.80243,28.21323,City,374
999,1218,5512009002,Zambia,551,2009,7,1,2,7,8,2009,7,8,2009,0,Lusaka,400,Reporters,3,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
1000,1219,5512010001,Zambia,551,2010,7,1,1,18,1,2010,18,1,2010,1,Kabwe,>50,Students,4,NA,NA,8,4,2,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,93,165,168,Kabwe,2,Zambia,NA,-14.4469,28.44644,City,374
1001,1220,5512010002,Zambia,551,2010,7,1,2,25,2,2010,25,2,2010,0,Chipata,300,Students,6,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,97,92,95,Chipata,1,Zambia,NA,-13.63333,32.65,City,376
1002,1221,5512011001,Zambia,551,2011,7,1,1,15,2,2011,15,2,2011,1,Kitwe,>50,Protesters,6,NA,NA,8,2,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,94,220,223,Kitwe,5,Zambia,NA,-12.80243,28.21323,City,374
1003,1222,5512011002,Zambia,551,2011,7,1,2,23,2,2011,23,2,2011,1,Livingstone,>50,bus and taxi drivers,5,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,74,240,243,Livingstone,2,Zambia,NA,-17.84194,25.85425,City,303
1004,1223,5512011003,Zambia,551,2011,7,1,3,18,4,2011,18,4,2011,0,Ndola,65,Lectures,1,NA,NA,8,1,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,95,347,350,Ndola,4,Zambia,NA,-12.95867,28.63659,City,374
1005,1224,5512011004,Zambia,551,2011,7,1,4,22,9,2011,22,9,2011,1,"Bulangililo, Chamboli, Mulenga, Wusakili, Lusaka, Kitwe and Ndola",100s,Patriotic Front,4,NA,NA,8,4,7,2,NA,NA,NA,NA,2.9E+11,3E+11,100-999,339,75,78,"Bulangililo, Chamboli, Mulenga, Wusakili, Lusaka, Kitwe and Ndola",1,Zambia,1,0,0,NA,339 374
1006,1225,5512011005,Zambia,551,2011,7,1,5,4,10,2011,4,10,2011,0,Ndola,>50,construction workers of the new Levy Mwanawasa Stadium,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,95,347,350,Ndola,4,Zambia,NA,-12.95867,28.63659,City,374
1007,1226,5512011006,Zambia,551,2011,7,1,6,8,11,2011,9,11,2011,0,Livingstone,300,Students,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,74,240,243,Livingstone,2,Zambia,NA,-17.84194,25.85425,City,303
1008,1227,5512012001,Zambia,551,2012,7,1,1,28,2,2012,28,2,2012,0,Lusaka,>50,Bus drivers,6,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
1009,1228,5512012002,Zambia,551,2012,7,1,2,18,4,2012,28,4,2012,0,Lusaka,>50,Zambia National Building Society (ZNBS),1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
1010,1229,5512012003,Zambia,551,2012,7,1,3,9,7,2012,9,7,2012,0,Kitwe,100s,Vendors,4,NA,NA,8,1,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,94,220,223,Kitwe,5,Zambia,NA,-12.80243,28.21323,City,374
1011,1230,5512012004,Zambia,551,2012,7,1,4,3,10,2012,3,10,2012,1,Lusaka,>50,Protesters,2,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
1012,1231,5512012005,Zambia,551,2012,7,1,5,15,10,2012,15,10,2012,0,Ndola,>50,workers,1,NA,NA,8,7,3,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,95,347,350,Ndola,4,Zambia,NA,-12.95867,28.63659,City,374
1013,1232,5512012006,Zambia,551,2012,7,1,6,9,11,2012,9,11,2012,1,Mpulungu,>50,Protesters,3,NA,NA,8,4,2,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,111,295,298,Mpulungu,1,Zambia,NA,-8.982,30.794,Admin,445
1014,1233,5512013001,Zambia,551,2013,7,1,1,2,1,2013,2,1,2013,0,Kabwe,>50,Taxi Drivers,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,93,165,168,Kabwe,2,Zambia,NA,-14.4469,28.44644,City,374
1015,1234,5512013002,Zambia,551,2013,7,1,2,17,6,2013,17,6,2013,0,Lusaka,>50,Bus drivers,3,NA,NA,8,2,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
1016,1235,5512013003,Zambia,551,2013,7,1,3,13,12,2013,14,12,2013,0,Lusaka,>50,University of Zambia Students Union,1,4,NA,8,4,2,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,86,246,249,Lusaka,22,Zambia,NA,-15.40669,28.28713,City,339
1017,1236,5512013004,Zambia,551,2013,7,1,4,18,12,2013,18,12,2013,1,Kitwe,>50,Taxi Drivers,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,94,220,223,Kitwe,5,Zambia,NA,-12.80243,28.21323,City,374
1018,1237,5521999001,Zimbabwe,552,1999,7,1,1,26,1,1999,26,1,1999,0,Harare,300,Lawyers,3,NA,NA,8,4,3,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,77,151,154,Harare,21,Zimbabwe,NA,-17.82772,31.05337,City,305
1019,1238,5521999002,Zimbabwe,552,1999,7,1,2,10,2,1999,10,2,1999,1,Harare,100s,Students,1,4,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,77,151,154,Harare,21,Zimbabwe,NA,-17.82772,31.05337,City,305
1020,1239,5521999003,Zimbabwe,552,1999,7,1,3,11,12,1999,11,12,1999,0,Harare,700,Lawyers and academics,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,77,151,154,Harare,21,Zimbabwe,NA,-17.82772,31.05337,City,305
1021,1240,5522000001,Zimbabwe,552,2000,7,1,1,2,4,2000,2,4,2000,1,Bulawayo and Harare,1000s,National Constitutional Association,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,340,77,80,Bulawayo and Harare,1,Zimbabwe,1,0,0,NA,269 305
1022,1241,5522000002,Zimbabwe,552,2000,7,1,2,9,4,2000,9,4,2000,1,Norton,1000,Movement for Democratic Change,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,1000-1999,78,359,362,Norton,1,Zimbabwe,NA,-17.88333,30.7,City,305
1023,1242,5522000003,Zimbabwe,552,2000,7,1,3,2,5,2000,2,5,2000,1,Harare,300,Zimbabwe War Veterans' Association,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,77,151,154,Harare,21,Zimbabwe,NA,-17.82772,31.05337,City,305
1024,1243,5522000004,Zimbabwe,552,2000,7,1,4,12,5,2000,12,5,2000,0,Harare,100,Women,3,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,77,151,154,Harare,21,Zimbabwe,NA,-17.82772,31.05337,City,305
1025,1244,5522000005,Zimbabwe,552,2000,7,1,5,20,7,2000,20,7,2000,0,Harare,1000s,Protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,77,151,154,Harare,21,Zimbabwe,NA,-17.82772,31.05337,City,305
